credit_id,credit_name,category,available_points,estimated_cost_per_point,assumption_note
EA-Optimize,Optimize Energy Performance,Energy and Atmosphere,18,42000,"Synthetic portfolio assumption, not a vendor quote."
EA-Renewable,Renewable Energy,Energy and Atmosphere,5,65000,"Synthetic portfolio assumption, not a vendor quote."
WE-Indoor,Indoor Water Use Reduction,Water Efficiency,6,18000,"Synthetic portfolio assumption, not a vendor quote."
WE-Metering,Water Metering,Water Efficiency,1,9000,"Synthetic portfolio assumption, not a vendor quote."
MR-EPD,Environmental Product Declarations,Materials and Resources,2,11000,"Synthetic portfolio assumption, not a vendor quote."
MR-Sourcing,Sourcing of Raw Materials,Materials and Resources,2,14000,"Synthetic portfolio assumption, not a vendor quote."
MR-Waste,Construction Waste Management,Materials and Resources,2,9500,"Synthetic portfolio assumption, not a vendor quote."
EQ-Vent,Enhanced Indoor Air Quality Strategies,Indoor Environmental Quality,2,16000,"Synthetic portfolio assumption, not a vendor quote."
EQ-Light,Daylight,Indoor Environmental Quality,3,22000,"Synthetic portfolio assumption, not a vendor quote."
LT-Transit,Access to Quality Transit,Location and Transportation,5,8000,"Synthetic portfolio assumption, not a vendor quote."
SS-Heat,Heat Island Reduction,Sustainable Sites,2,12000,"Synthetic portfolio assumption, not a vendor quote."
IN-Innovation,Innovation,Innovation,5,15000,"Synthetic portfolio assumption, not a vendor quote."
RP-Priority,Regional Priority,Regional Priority,4,7000,"Synthetic portfolio assumption, not a vendor quote."
